review_id,business_id,text,rating,time,business_name,categories,sentiment_scores,compound_sentiment,sentiment_category,themes
g_1743112099_8YWLuLUKj0t_0_Xv06UUtw,8YWLuLUKj0t_0_Xv06UUtw,"A Szechuan tapas and speakeasy like bar, offering Asian inspired cocktails and food. The vintage decor and mood lighting really sets the experience. I visited twice, once seated at the bar for cocktails and the second to enjoy the full experience with food. Personally, I felt the experience at the bar was much better. When seated, our waiter didn’t really seem engaged and the food took too long to come out, hence the score. Nonetheless, really good drinks and worthy of a visit for the cocktails (and maybe the food, if you manage to have a better experience than I did while seated).",3.0,1743112099,Ye's Apothecary 夜莺,"[""Szechuan"", ""Speakeasies""]","{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.9711}",0.9711,positive,"['service', 'ambiance', 'value', 'timing']"
g_1741823764_8YWLuLUKj0t_0_Xv06UUtw,8YWLuLUKj0t_0_Xv06UUtw,"This place is great! The food is flavorful and delicious. My friend and I shared a few things. Neither of us had a drink so cant speak to the cocktails, but the ones we saw others order looked good. It’s cute and cozy inside. The staff is sweet, maybe a bit overly attentive at times but I’d rather that than be ignored. So glad I went and was able to cross this spot off my list!",4.0,1741823764,Ye's Apothecary 夜莺,"[""Szechuan"", ""Speakeasies""]","{'neg': 0.031, 'neu': 0.695, 'pos': 0.274, 'compound': 0.9735}",0.9735,positive,"['food_quality', 'service', 'ambiance', 'timing']"
g_1745587919_8YWLuLUKj0t_0_Xv06UUtw,8YWLuLUKj0t_0_Xv06UUtw,"Super cozy and intimate spot, great for date night! They were fully booked on a Thursday night, so make sure you grab reservations in advance. Every single cocktail is unique and delicious; my favorite was the Happy Together (clarified milk!!) and the Earl Grey Gimlet was tasty as well. The food was delicious; we had crab fried rice, chili filet fish, snow pea sprouts, salt and pepper fritto misto, and soft shell crab. The spice level was manageable but had me sweating. Service was friendly and attentive as well.",5.0,1745587919,Ye's Apothecary 夜莺,"[""Szechuan"", ""Speakeasies""]","{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.9695}",0.9695,positive,"['food_quality', 'service', 'ambiance', 'timing']"
g_1742861403_8YWLuLUKj0t_0_Xv06UUtw,8YWLuLUKj0t_0_Xv06UUtw,"Ye's Apothecary: where the drinks are potent and the reservation system is... well, a work in progress. We booked for four through Resy, but Ye's was like, ""Who?"" Luckily, our server was a saint and squeezed us in at the bar before upgrading us to a table.

On to the good stuff: Happy Together, 2046, and Sichuan Old Fashioned cocktails were expertly crafted. Appetizers? Sichuan Wontons exploded with flavor, Chili Filet O' Fish was ""I'll-have-two, please"" good, and Changsha Spiced Chicken surprisingly paired well with pineapple (who knew?). Friendly staff, perfect sound levels, and lounge vibes make Ye's ideal for dates or small gatherings. Love the place! We'll be back – with a paper reservation confirmation 😂  a must try guys!",5.0,1742861403,Ye's Apothecary 夜莺,"[""Szechuan"", ""Speakeasies""]","{'neg': 0.014, 'neu': 0.642, 'pos': 0.344, 'compound': 0.9958}",0.9958,positive,"['food_quality', 'service', 'ambiance', 'value', 'timing']"
g_1736303136_8YWLuLUKj0t_0_Xv06UUtw,8YWLuLUKj0t_0_Xv06UUtw,"Wonderful experience! The staff was so polite and friendly, checking in on us to see if we needed more food or drinks. Food arrived super fast and was incredibly delicious. The cocktails were very well balanced and tasty. I'm definitely coming back soon with more friends soon!",5.0,1736303136,Ye's Apothecary 夜莺,"[""Szechuan"", ""Speakeasies""]","{'neg': 0.0, 'neu': 0.624, 'pos': 0.376, 'compound': 0.9754}",0.9754,positive,"['food_quality', 'service', 'timing']"
g_1745211481_qEe7nIhPfEL6L0-VYhWRrA,qEe7nIhPfEL6L0-VYhWRrA,"I ordered the saba sushi, ankimo, ebiten udon, and sakura sake panna cotta.
The udon was excellent. Both the broth and noodles were clean and well balanced.
The panna cotta was very well made. The combination with red bean worked nicely and the subtle aroma of sake at the end was memorable.
The ankimo was not very impressive even at $10.
I personally found the shari in the saba sushi slightly too much, but not enough to break the overall balance of the sushi. The other dishes were also good.
Overall, the flavors were clean and refined. The prices felt reasonable(for New York) and the quality is comparable to some of the best local spots in Japan.",5.0,1745211481,Raku,"[""Japanese"", ""Noodles""]","{'neg': 0.015, 'neu': 0.815, 'pos': 0.17, 'compound': 0.962}",0.962,positive,"['food_quality', 'value']"
g_1742581428_qEe7nIhPfEL6L0-VYhWRrA,qEe7nIhPfEL6L0-VYhWRrA,"This place never disappoints. I wouldn’t wait more than 30-40 minutes for here but if you get a reservation, no problem. The food is good and the service is as good as it can get when they’re busy. The drinks are solid and this is definitely one of my go to udon spots. The menu has a good amount of options so there’s ideally something for every palette.",5.0,1742581428,Raku,"[""Japanese"", ""Noodles""]","{'neg': 0.0, 'neu': 0.701, 'pos': 0.299, 'compound': 0.9766}",0.9766,positive,"['service', 'value', 'timing']"
g_1739740159_qEe7nIhPfEL6L0-VYhWRrA,qEe7nIhPfEL6L0-VYhWRrA,"It was raining and freezing. But there were line waiting outside. Food is delicious. Atmosphere is nice. Employees are great. The only down side is the price. Understand it’s NYC and SOHO, but still highly overpriced. I would not visit again just for the price.",4.0,1739740159,Raku,"[""Japanese"", ""Noodles""]","{'neg': 0.021, 'neu': 0.724, 'pos': 0.254, 'compound': 0.9451}",0.9451,positive,"['food_quality', 'ambiance', 'value', 'timing']"
g_1742702091_qEe7nIhPfEL6L0-VYhWRrA,qEe7nIhPfEL6L0-VYhWRrA,"Exceptional all around. One of my fave restaurants at one of my fave parts of the city - and for good reason.

FOOD
The food is excellent. If you're craving a wide array of Japanese food, this place really hits. During this visit we ordered the chicken karage, the tofu, and the roll cake. All incredibly delicious.

The karage was fried perfectly and came with lemon (which just makes so much sense) and a spiced mayo which was the perfect accompaniment. We asked for salt on the side which helped the flavors pop even more.

The tofu was also delicious. The broth that it was in + the bonito with the shaved ginger, gave it an incredible depth of flavor which is hard to describe. Umami if I were ever to taste it. Highly recommend.

The roll cake was the sleeper. Incredibly delicious with pieces of fruit embedded throughout. Very generous portion with a raspberry mousse on the side which was a perfect pairing.

SERVICE
This was outstanding. 10/10. They were extremely accommodating with our small baby and several staff members from various parts of the restaurant checked in on us throughout our meal to make sure that we had everything that we needed and that everything was okay. Truly memorable, especially given the restaurant was packed on a Saturday night and very, very busy. Service really punched above its weight class.

ATMOSPHERE
What else is there to say. This is prime SoHo on MacDougal. The energy is infectious. However, the smart layout of the restaurant optimizes the space so that there is quite a bit of seating (we were lucky to snag 2 seats a bit later in the evening for dinner w/o a reservation), but you still feel there is space to navigate through the restaurant. Overall, definitely has that clean Japandi sort of vibe fitting of the restaurant and cuisine.

Overall, this deserves its 5-star review. I would rate higher if possible.",5.0,1742702091,Raku,"[""Japanese"", ""Noodles""]","{'neg': 0.003, 'neu': 0.858, 'pos': 0.139, 'compound': 0.9896}",0.9896,positive,"['food_quality', 'service', 'ambiance', 'location', 'timing']"
g_1740440240_qEe7nIhPfEL6L0-VYhWRrA,qEe7nIhPfEL6L0-VYhWRrA,Make a reservation or come right at opening to ensure a spot! We got very lucky and were seated right away at 5:10pm without a reservation. Everything was delicious and would totally come back. The broths are a bit on the saltier side but delicious nonetheless. Overheard another table try to order dessert at 5:45 but the server said it ran out so order early if you know what you want!can’t wait to come back.,5.0,1740440240,Raku,"[""Japanese"", ""Noodles""]","{'neg': 0.0, 'neu': 0.857, 'pos': 0.143, 'compound': 0.8964}",0.8964,positive,"['food_quality', 'service', 'timing']"
g_1746944543_dEOv8_ivdHp85OK_TDQh_g,dEOv8_ivdHp85OK_TDQh_g,"We had a lovely experience at Da Andrea Chelsea. We sat outdoors on a beautiful Saturday afternoon, and the atmosphere was perfect, charming, relaxed, and ideal for people-watching. The scenery added a special touch to the meal.

I ordered the Pennette con Melanzane and it was absolutely delicious. The pasta was perfectly cooked and the eggplant was tender and flavorful, blending wonderfully with the tomato sauce and fresh basil. You can really taste the quality of the ingredients.

Great food, great vibes, and a great location. Highly recommend for a casual but memorable Italian dining experience in Chelsea.",5.0,1746944543,Da Andrea - Chelsea,"[""Italian"", ""Wine Bars"", ""Cocktail Bars""]","{'neg': 0.0, 'neu': 0.696, 'pos': 0.304, 'compound': 0.9816}",0.9816,positive,"['food_quality', 'ambiance', 'value', 'location']"
g_1745815665_dEOv8_ivdHp85OK_TDQh_g,dEOv8_ivdHp85OK_TDQh_g,"I thought the restaurant was beautiful lots of flowers, rustic feeling and lots of personal touches in terms of decoration. I thought the food was okay nothing mind blowing, I came on a weekend so was able to try some things off the brunch menu I got the PAPPARDELLE, pasta was yummy and sauce was too, but the lamb pieces had too much of a gamey after taste which was not enjoyable so had to eat around lamb pieces. My bf got the bolognese the sauce was delicious but his pasta was a bit overcooked. We also got the margarita flatbread which was sooo GOOD, thin cheesy but still light with the fresh basil on top. Lastly we got the tiramisu which was disappointing not enough coffee or soaking to lady fingers. Service was great though, very welcoming and attentive.",3.0,1745815665,Da Andrea - Chelsea,"[""Italian"", ""Wine Bars"", ""Cocktail Bars""]","{'neg': 0.044, 'neu': 0.763, 'pos': 0.193, 'compound': 0.9751}",0.9751,positive,"['food_quality', 'service', 'ambiance']"
g_1741567399_dEOv8_ivdHp85OK_TDQh_g,dEOv8_ivdHp85OK_TDQh_g,"This place was just okay for me. The atmosphere is warm and inviting, which I appreciated, but the food didn’t quite hit the mark. The gnocchi was a standout—absolutely delicious and perfectly executed—but the other dishes were just decent and a bit bland. The tiramisu was the biggest letdown; it ended up tasting mostly like whipped cream and coffee, missing that rich, custardy texture that really makes it shine.

I also ordered the same cocktail twice, and both times, the glass was super sticky, which made it pretty unpleasant to hold. The service was friendly, but little details like that took away from the experience.",3.0,1741567399,Da Andrea - Chelsea,"[""Italian"", ""Wine Bars"", ""Cocktail Bars""]","{'neg': 0.049, 'neu': 0.648, 'pos': 0.303, 'compound': 0.9887}",0.9887,positive,"['food_quality', 'service', 'ambiance']"
g_1740272885_dEOv8_ivdHp85OK_TDQh_g,dEOv8_ivdHp85OK_TDQh_g,"Everything about this place is gorgeous - from the outside to every detail inside. Dark, cozy, intimate. No detail has been missed. The service is amazing, our server - Santiago - was well versed in the menu, wines, and specials. He was very sweet and genuinely wanted us to have a wonderful evening. The octopus was delicious, tender and seasoned just right. I got the lamb chop special which melted in your mouth. 10/10",5.0,1740272885,Da Andrea - Chelsea,"[""Italian"", ""Wine Bars"", ""Cocktail Bars""]","{'neg': 0.047, 'neu': 0.701, 'pos': 0.251, 'compound': 0.9633}",0.9633,positive,"['food_quality', 'service', 'ambiance']"
g_1736086625_dEOv8_ivdHp85OK_TDQh_g,dEOv8_ivdHp85OK_TDQh_g,An unforgettable dining experience! The food was exceptional and the ambiance was stunning - true credit to the chef. The lobster soup was a masterpiece and the tiramisu was easily one of the best I’ve ever tasted. The staff went above and beyond; the hostess and waiter were incredibly warm and surprised us with complimentary limoncello shots to celebrate our anniversary. Every detail made the evening special. Highly recommend this restaurant.,5.0,1736086625,Da Andrea - Chelsea,"[""Italian"", ""Wine Bars"", ""Cocktail Bars""]","{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.9866}",0.9866,positive,"['service', 'ambiance', 'timing']"
g_1742690405_NN3mOWF5e_pnR1ArqM2bHQ,NN3mOWF5e_pnR1ArqM2bHQ,Awesome Vietnamese and Thai fusion food! I got the lemongrass short rib and husband got the pho Bo which were both excellent. We also ended up getting mango sticky rice for dessert which was also just as excellent. Our server Pete was very pleasant and very attentive! He gave great recommendations for the cocktails! Highly recommend this place.,5.0,1742690405,Obao,"[""Vietnamese"", ""Thai"", ""Asian Fusion""]","{'neg': 0.0, 'neu': 0.695, 'pos': 0.305, 'compound': 0.9746}",0.9746,positive,"['food_quality', 'service']"
g_1739503595_NN3mOWF5e_pnR1ArqM2bHQ,NN3mOWF5e_pnR1ArqM2bHQ,"OBAO, since 2009, is a Thai restaurant sharing neighboring Vietnamese cuisine to create a unique fusion of Asian palate. This modern Thai concept introduces innovative culinary techniques blending the best of Thai and Vietnamese ingredients. Enjoy various Thai and Vietnamese comfort foods from the streets of South East Asia in New York City. Pete served us today with superb service. Food and drinks came out quick and you can taste the quality while experiencing comfort through food. There are two floors of beautiful space filled with numerous decorations with a NYC vibe. This is a perfect place for gatherings or simply to enjoy a fabulous meal. Highly recommend making a reservation as OBAO gets filled out quickly. Rest is right at your fingertips!",5.0,1739503595,Obao,"[""Vietnamese"", ""Thai"", ""Asian Fusion""]","{'neg': 0.0, 'neu': 0.726, 'pos': 0.274, 'compound': 0.9909}",0.9909,positive,"['food_quality', 'service', 'ambiance', 'location', 'timing']"
g_1746233154_NN3mOWF5e_pnR1ArqM2bHQ,NN3mOWF5e_pnR1ArqM2bHQ,First time in new york and decided to try obao with family members. Everything was so good and Kelly was amazing. We got appetizers to share and I got the beef and broccoli with flat rice noodles. sooo flavorful! I got a coconut cake for dessert and it was delicious. Will come back next time I visit :),5.0,1746233154,Obao,"[""Vietnamese"", ""Thai"", ""Asian Fusion""]","{'neg': 0.0, 'neu': 0.76, 'pos': 0.24, 'compound': 0.9496}",0.9496,positive,['food_quality']
g_1740509196_NN3mOWF5e_pnR1ArqM2bHQ,NN3mOWF5e_pnR1ArqM2bHQ,"The atmosphere is amazing. Nice romantic lighting without being too dark. Very simple but elegant decorations. Music is soft acoustic pop covers. Our server Pete was so accommodating and made sure we lacked for nothing, I never had to look for him, very attentive and polite without hovering.

I had the Short Rib Pho and my wife got the drunken noodles. Both were really good. I can't wait to come back with friends. Definitely recommend for dates and small groups but they also seem to be able to accommodate big parties as well. Another Gem in Hell's Kitchen.",5.0,1740509196,Obao,"[""Vietnamese"", ""Thai"", ""Asian Fusion""]","{'neg': 0.0, 'neu': 0.713, 'pos': 0.287, 'compound': 0.9873}",0.9873,positive,"['food_quality', 'service', 'ambiance', 'timing']"
g_1744323233_NN3mOWF5e_pnR1ArqM2bHQ,NN3mOWF5e_pnR1ArqM2bHQ,"Yay for our server, Emily. She was friendly and efficient and helped us make our selections from a lovely menu. The food was delicious. The cocktail was also very delicious. If you’re going to the theater, the perfect place to have a well prepared meal.",5.0,1744323233,Obao,"[""Vietnamese"", ""Thai"", ""Asian Fusion""]","{'neg': 0.0, 'neu': 0.557, 'pos': 0.443, 'compound': 0.981}",0.981,positive,"['food_quality', 'service']"
g_1745949621_klAhw3xLQi9GF1tf_HnS7w,klAhw3xLQi9GF1tf_HnS7w,"Izakaya Mew always hits the spot. We ordered from their lunch special and were so impressed! Everything was super fresh, flavorful, and nicely portioned. The prices are very reasonable for the quality you’re getting. The space has a cool, modern vibe with good lighting, and the staff made the whole experience even better with how friendly and attentive they were. I’d definitely recommend checking it out, especially for lunch, their lunch menu is a total win.",5.0,1745949621,Izakaya MEW,"[""Tapas Bars"", ""Sushi Bars"", ""Izakaya""]","{'neg': 0.0, 'neu': 0.636, 'pos': 0.364, 'compound': 0.9879}",0.9879,positive,"['food_quality', 'service', 'ambiance', 'value', 'timing']"
g_1745263261_klAhw3xLQi9GF1tf_HnS7w,klAhw3xLQi9GF1tf_HnS7w,"Small bites over large portions—every time.
If you’re someone who lives for flavor-packed dishes meant for sharing, this hidden NYC spot is calling your name. Every single plate felt like it was crafted to nourish not just your appetite, but your soul.

Best $$$$ spent—without breaking the bank.
It’s not expensive, but every bite is cooked to absolute perfection. Perfect for a first date—affordable, cozy, and made for sharing stories over shared plates.",5.0,1745263261,Izakaya MEW,"[""Tapas Bars"", ""Sushi Bars"", ""Izakaya""]","{'neg': 0.0, 'neu': 0.715, 'pos': 0.285, 'compound': 0.9806}",0.9806,positive,"['food_quality', 'ambiance', 'value']"
g_1737928893_klAhw3xLQi9GF1tf_HnS7w,klAhw3xLQi9GF1tf_HnS7w,"Izaka mew was pretty good! This place is super popular and busy. There was a lot of people waiting to go in, even when it just opened. This restaurant is open from 12-2 pm, and then it closes and opens back up again from 5-9:30pm. Despite it being busy, my food came out pretty quickly. I got the salmon sashimi taco and it was really tasty! It was a salmon taco with guacamole, which is a good fusion of Hispanic and Japanese food. The portion size was a little small though. The service was good and the waiter answered any questions I had. The place had a nice underground ambience to it. Overall, I would recommend. It has a lot of good Japanese food items on its menu.

Price: $11.95💸
Rating: 7.5/10📝",4.0,1737928893,Izakaya MEW,"[""Tapas Bars"", ""Sushi Bars"", ""Izakaya""]","{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.9828}",0.9828,positive,"['food_quality', 'service', 'value', 'timing']"
g_1743512031_klAhw3xLQi9GF1tf_HnS7w,klAhw3xLQi9GF1tf_HnS7w,"We finally tried this Japanese restaurant right next to our hotel after noticing the constant crowd gathered outside every night. The wait was over an hour, but once we were seated downstairs, we were greeted warmly and felt right at home.

I went with my fiancé and our son, and we decided to try a variety of dishes since everything was portioned small and perfect for sharing. We ordered the ramen, chicken nanban, kani cream croquettes, and a California roll for our son. Each dish was absolutely delicious.

We also sampled a couple of their cocktails, which were just as thoughtfully crafted. The vibe of the place was lively but cozy, and the staff was kind and attentive.
The wait may be long but it was totally worth it. Highly recommend stopping by if you’re in the area!",5.0,1743512031,Izakaya MEW,"[""Tapas Bars"", ""Sushi Bars"", ""Izakaya""]","{'neg': 0.014, 'neu': 0.754, 'pos': 0.233, 'compound': 0.9905}",0.9905,positive,"['food_quality', 'service', 'ambiance', 'value', 'location', 'timing']"
g_1730207381_klAhw3xLQi9GF1tf_HnS7w,klAhw3xLQi9GF1tf_HnS7w,"A restaurant that serves excellent Japanese food!
The atmosphere is great, the staff is very attentive, and the food is delicious – all the dishes were tasty, large, and worth the price.
The cocktails were really good too.
Anyone in the area who wants to experience a Japanese vibe in New York, I highly recommend visiting.
The restaurant is located on the basement level (-1).
It’s advisable to make a reservation in advance or expect to wait about 30 minutes for a table.",5.0,1730207381,Izakaya MEW,"[""Tapas Bars"", ""Sushi Bars"", ""Izakaya""]","{'neg': 0.0, 'neu': 0.796, 'pos': 0.204, 'compound': 0.9622}",0.9622,positive,"['food_quality', 'service', 'ambiance', 'value', 'location', 'timing']"
g_1743714966_oe8GEFE4QLFAKt87y7zcgA,oe8GEFE4QLFAKt87y7zcgA,"Spice, variety, flavor. Authenticity — but with a price.

We stopped by on a cold, rainy day — perfect noodle soup weather. Tried two of their popular soup options, both came out piping hot and rich in flavor. Definitely seasoned with that classic Sichuan peppercorn kick — subtle, not overwhelming, but present enough for fans of that numbing spice to appreciate.

It does feel a bit over seasoned to the point I had a hard time telling what was what.

That said, the total came out to about $80 for three soups and three drinks. Bit of sticker shock for a quick meal in a market setting. The food was good, don’t get me wrong, but for that price point, it didn’t wow me enough to make it a regular stop.

Service was decent — staff was friendly and helpful, but nothing exceptional.

Hugo’s Take:
🟡 One-and-done. Decent for a rainy day, but not something I’d go out of my way for again.

Vibe: 7/10
Value: 5/10
Flavor: 8/10",4.0,1743714966,Very Fresh Noodles,"[""Taiwanese"", ""Chinese"", ""Noodles""]","{'neg': 0.094, 'neu': 0.713, 'pos': 0.193, 'compound': 0.98}",0.98,positive,"['food_quality', 'service', 'ambiance', 'value', 'timing']"
g_1744478449_oe8GEFE4QLFAKt87y7zcgA,oe8GEFE4QLFAKt87y7zcgA,Delicious noodles.  In Chelsea market so might be hard sometimes to find a seat but the great food. I ordered the noodles dry so they were sauced but not in a broth.   Broth dishes looked great also but the dry version was perfectly sauced and full of flavor. The meat was very tender and juicy.  Overall would definitely return.,4.0,1744478449,Very Fresh Noodles,"[""Taiwanese"", ""Chinese"", ""Noodles""]","{'neg': 0.017, 'neu': 0.685, 'pos': 0.297, 'compound': 0.9768}",0.9768,positive,['food_quality']
g_1740280830_oe8GEFE4QLFAKt87y7zcgA,oe8GEFE4QLFAKt87y7zcgA,"Okay WOW.

This place has incredibly fresh noodles that taste so good. Cut and made fresh, there is a glass window and you can see through where they are literally slapping the noodles against the counter right in front of you. The flavor is absolutely crazy, can’t say enough good things about the taste of these noodles.

They serve the noodles dry or in a soup version like ramen.

Sometimes there is a line because this place is very popular, but the service is usually pretty quick and they keep it moving.

Right in Chelsea Market right in the front by anthropology",5.0,1740280830,Very Fresh Noodles,"[""Taiwanese"", ""Chinese"", ""Noodles""]","{'neg': 0.031, 'neu': 0.794, 'pos': 0.175, 'compound': 0.9266}",0.9266,positive,"['food_quality', 'service', 'timing']"
